temp,rh,rain
12.2,77.1,0.1
12.1,26.3,0
12,49.8,0
6.7,70.1,2
10.8,41.6,0
11.2,49.3,0
13.5,32.4,0
8.9,83.9,19
9.7,59.6,0
9.7,58.5,0
11.3,61,0
10.5,82,2.5
11.4,74.3,5
10.4,57,0
13.2,47.4,4
13,93.6,69
12.5,74.9,0
14.2,57.6,0
15.3,44.1,0
15.9,41.5,0
17.5,35.9,0
15.4,63.3,0.5
14.5,80.6,3.5
17.3,56.1,0
17.6,78.8,4
16.5,89.3,6.5
17.2,74.6,14
15.7,64,0
14.6,56.5,0
17.2,39.8,0
17.2,50,0
16.4,48.4,0
17.5,35.4,0
20.5,40.9,0
20.7,60.4,0.4
17.5,89.8,15
14.5,85.1,2
17.3,57.8,0
19.5,45.3,0
21.5,39.5,0
22.7,41.4,0
20.7,47.9,0
20.1,53.5,0
22.4,48,0
24.4,40.4,0
22.7,41.6,0
18.7,66.5,7.5
18,76.9,21.5
19,73.6,0
19,67,0
18.7,76.8,0.5
20.4,62.6,0
20.9,50.5,0
20.9,45.8,0
22,55.8,1.5
19.4,76.5,0
21.4,71.4,0
24,45.8,0
23.4,49.5,0
21,69.9,0.5
22.8,57.6,0
25.2,50.8,1
26.5,43.3,0
24.9,43,0
24.5,52.5,0
26.6,50.4,0
26.6,52.5,0
24.1,59.9,0
22.7,83.6,16
22,92.3,41
19.7,88.9,10.5
18.3,84.9,37
19.2,82.1,40
19.2,85.9,11.5
24.1,67.3,0.5
21,92.3,177
23.8,87.4,46
25.1,78.9,0
24.7,82.3,0
22.6,92.1,115
22.5,76.8,0
24.3,64.6,0
25.6,60.9,0
22.9,84.9,42.5
22.4,84.1,13
23.6,83.5,15
24.2,80.4,6
21.2,90.3,42.5
22.8,87.9,51.5
24.3,85.6,29
23.6,89.5,38
23.4,89.4,15
22.8,91.1,54.5
25.1,82.5,1
28.7,62.8,0
28.5,55.5,0
27.6,50.3,0
27.1,48,0
24.1,71,1.5
25.4,76.3,3
24.8,81.6,8
24.9,85.3,27.5
24.8,81,171
24,92.1,301.5
24.7,89,115
26.2,81.6,7.5
27.2,75.3,0
24.7,87.8,73
25.6,81.1,0.5
26.1,77.5,0.5
25.4,83,41.5
25.4,86.3,10
28.9,67.8,0
28.5,67.5,1.5
28.7,63.9,4.5
24.7,84.8,39.5
26,76.3,0
25.8,81,0.3
26.6,78.9,0
25.3,86.5,19.5
25.3,83.9,6.5
25,86.8,9.5
24.5,87.3,0.5
25,87.8,16
23.7,91.1,4
25.2,73.3,0
24.4,75.6,0
23.1,76.9,0.5
24.4,68.4,0
23.5,71.4,3.5
24.3,60.1,0
24.8,57.9,0
25.7,57.3,0
26.4,57.5,0
27.6,59.5,0
27.3,66.8,0
26.8,75.6,0
27.1,70,8.5
27.9,62.6,0
27,63.3,0
26.9,58.1,0
25.1,48,0
23.7,47.6,0
23.8,55.9,0
23.4,52.5,0
22.6,49.9,0
22.3,53.8,0
19.9,75.5,2.5
21.5,68.6,0
21.2,77.1,0
23.3,69.6,0
25,50.3,0
24.4,70.9,0
25.7,68.8,0
25.6,68.1,0
25.8,65.6,0
21,63,0.5
16.8,56.1,0.1
17.7,44.5,0
18.1,44.4,0
18.1,49.8,0
19.5,49.9,0
19.6,55.9,0
20,61.3,0
21.2,52.1,0
21.8,41.1,0
19.8,52.6,0
16.9,83.3,22.5
14.8,49.5,0
12.7,48.9,0
13.3,42.1,0
13.8,44.3,0
14.9,47.3,0
16.4,51.5,0
16.5,54.1,0
15.4,57.5,0
16.2,55.3,0
16.6,59,0
16.9,69.6,0
16.5,58.1,0
14.7,52.5,0
16.6,51.4,0
14.4,79.3,5
13,85.3,20
14.8,62.8,0.5
11.2,34.3,0
9.4,37.4,0
12.8,44,0
15.5,52.4,0
17.3,53.1,0
17.1,59.8,0
16.5,66.3,0
12.3,72.3,1.5
7.6,36.9,0
9.5,42.8,0
12.7,43.6,0
14.5,49.6,0
12,80.5,5
14.8,54.8,0
15,42.8,0
16.1,45.9,0
16.2,46.1,0
16.8,49.1,0
18.4,67.6,1
19.9,67.5,0.1
14.6,79.8,12
15.1,68.9,0
14.9,65,0
14.5,59.4,0
14.1,54.1,0
12.5,71.1,1
12,66.5,0
11.3,53.9,0
6.4,37.3,0
7.2,43.8,0
10.9,51.1,0
13.6,52.9,0
14.2,81,6
10.6,71.4,0.2
0.4,40.5,0
1.6,39.1,0
5.6,53.1,0.1
2.8,68.5,4.5
-1.6,45.8,0
2.8,49.4,0
5.6,55.9,0
13.5,73.5,0
14.6,82.8,0.3
11.3,87.5,1
4.7,82.8,30
5.8,55,0
5.5,58.6,1.5
5.3,73.6,3.5
2.5,51.4,0
1.5,35.9,0
3.9,39.3,0
4,60.1,0
0.1,59.6,0
-2.7,50.8,0
-1.7,48.6,0
2.8,64.6,0
3.5,54.4,0
1.5,42.8,0
2.4,60.9,0
-3.9,38.8,0
-7.1,39.1,0
-5.8,45.6,0
-2.4,46.8,0
-2.4,38.3,0
-0.3,40.8,0
1.9,61.8,0.7
-5.5,33.9,0
-5.4,42.8,0.6
-5.2,54,0.5
-7.1,35.4,0
-7.1,29.1,0
-4,37.4,0
-0.5,65,0.3
-1.7,66.1,0
-3,66.6,0
-1.9,66.5,0
-3,64.5,0
-4.8,66.5,0
-4.5,68.3,0.4
-7.4,55.4,0
-5.7,49.8,0
-2.8,42.9,0
-3.8,46.5,0
-2.5,54.3,0
-0.3,66.1,0
-2.5,53.9,0
-6,42.3,0
-4.6,56.5,0
-1.2,52.8,0
-1.5,51.6,0
-2.6,44.5,0
1,44.6,0
2.8,48.5,0
1.4,39.8,0
5.3,54.4,0.2
5.4,61,0.5
2.4,60.3,0.1
-7.7,37.9,0
-9.6,33.3,0
-7.3,39.9,1.6
-8.2,41.3,0
-2.9,54.5,0
-0.9,64.6,0
-1.8,24.4,0
-2.8,23.4,0
-5.6,22.4,0
-4.7,48.4,3.9
-12.8,47.9,0
-13.7,44.4,0
-8.6,54.3,0.1
-3,48.5,0.2
-0.9,36.1,0
0.9,50.6,0.2
-8.7,42.3,0
-8,39.1,0
-4.5,48.9,0
-3.5,46.4,0
-3.8,42.5,0
-0.1,34.4,0
3.1,26.3,0
3,48.9,0
-1.3,31.5,0
-2.8,32.4,0
-6.4,35.1,0
-6.8,38.9,0
-4.4,39.6,0
-0.2,56.8,0
2.3,59.1,0
5.8,46.6,0
4.4,64.4,0.3
4.3,61.3,0
1.2,57.4,0
-1.6,33.5,0
-0.7,31.3,0
2.1,26.6,0
5.4,27.1,0
8.7,20.1,0
6.9,54.6,0.3
6.9,47.1,0
6.2,49.9,0
5.3,66.9,7
3,81.6,8.5
3,60.1,0
2,47.8,0
3.4,48.9,0
3.9,52.5,0
-2.4,43,0
-1.6,40.1,0
1.7,49.8,0
3.6,70.4,0
5.5,35.8,0
8.1,51.1,4
10.4,71.4,2
6.9,62.8,0
2.8,38,0
3.1,30.6,0
4.3,36.3,0
7.8,53.6,0
5,82.5,22
3.3,54.5,3.5
3.6,36.6,0
3.9,38.3,0
6.4,57.6,0
10.1,56.4,0
11.6,57,0
9,73.5,0.1
5.4,38.4,0
4.6,28.1,0
8.3,56.9,22
4.9,66.9,35
7.2,57.3,0
6.7,43.4,0
5.4,41.5,0
5.9,35.5,0
11.3,47.3,0
15.4,55.8,0
13.7,82.8,10.5
12.2,72.5,3
8.9,49.5,0
10.3,52.8,0
10.5,68,0
13.4,56,0
11.9,58,0
13.6,38.1,0
15.2,32.3,0
17,34.1,0
18.4,38.9,0
11.4,72.6,47.5
9.4,91.4,9
12.9,82.1,0
19.7,60.3,0
15.1,72.8,28
